center_idx,center_name,latitude,longitude,center_address,center_like
1,영산하구둑  인증센터,34.8019679,126.4457409,전라남도 목포시 남악로58번길 20,0
2,느러지전망관람대 인증센터,34.9147873,126.5416218,전라남도 나주시 동강면 동강로,0
3,죽산보 인증센터,34.9707961,126.6264067,전라남도 나주시 다시면 죽산리 208-1,0
4,승촌보 인증센터,35.0653128,126.7614059,광주광역시 남구 승촌동 576-3,0
5,낙동강하구둑 인증센터,35.1084124,128.9479504,부산광역시 사하구 하단동 1150-2,0
6,담양대나무숲 인증센터,35.2472386,126.8918793,광주광역시 북구 용전동 576-7,0
7,메타세쿼이아길 인증센터,35.3318928,127.0169042,전라남도 담양군 담양읍 학동리 638-4,0
8,양산물문화관 인증센터,35.3156944,128.9742795,경상남도 양산시 물금읍 물금리 596-1,0
9,담양댐 인증센터,35.3712676,127.0182184,전라남도 담양군 금성면 대성리 977-4,0
10,창녕함안보 인증센터,35.3772116,128.5507862,경상남도 함안군 칠북면 봉촌리 산158-1,0
11,합천창녕보 인증센터,35.5908546,128.3615973,경상남도 창녕군 이방면 등림리 639,0
12,달성보 인증센터,35.7370155,128.4191659,대구광역시 달성군 논공읍 하리 707-5,0
13,강정고령보 인증센터,35.8419883,128.4626587,대구광역시 달성군 다사읍 죽곡리 303-15,0
14,금강하구둑 인증센터,36.0206317,126.7645631,전라북도 군산시 성산면 성덕리 421-7,0
15,칠곡보 인증센터,36.0153244,128.4008044,경상북도 칠곡군 석적읍 중리지 559-1,0
16,익산성당포구 인증센터,36.1309589,126.9219245,전라북도 익산시 성당면 성당리 724-1,0
17,구미보 인증센터,36.237332,128.3494861,경상북도 구미시 해평면 낙산리 1095-366,0
18,상주상풍교 인증센터,36.4987732,128.2657686,경상북도 상주시 사벌국면 매호리 산31-3,0
19,안동댐 인증센터,36.5775627,128.7584247,경상북도 안동시 상가동 509,0
20,문경불정역 인증센터,36.6557033,128.1408885,경상북도 문경시 불정동 418,0
21,이화령휴게소 인증센터,36.7516429,128.0316497,충청북도 괴산군 연풍면 주진리 105-1,0
22,수안보온천 인증센터,36.8487463,127.9894125,충청북도 청주시 수안보면 온천리 297-4,0
23,충주탄금대 인증센터,36.9893008,127.9033871,충청북도 청주시 칠금동 산1-29,0
24,충주댐 인증센터,37.0111474,127.9786075,충청북도 청주시 종민동 1236-5,0
25,강천보 인증센터,37.2771209,127.6810436,경기도 여주시 단현동 25-1,0
26,여주보 인증센터,37.3263624,127.6051899,경기도 여주시 능서면 왕대리 27,0
27,이포보 인증센터,37.4074712,127.5419457,경기도 여주시 대신면 천서리 산13-7,0
28,양평군립미술관 인증센터,37.4982631,127.4848049,경기도 양평군 양평읍 양근리 산9-3,0
29,능내역 인증센터,37.52247656,127.2950394,경기도 남양주시 조안면 능내리 131-15,0
30,뚝섬전망콤플렉스 인증센터,37.5321156,127.0601551,서울특별시 광진구 자양제4동 158-17 폐쇄형습지,0
31,여의도서울마리나 인증센터,37.5181389,126.9452965,서울특별시 영등포구 여의도동 87-5,0
32,광나루자전거공원 인증센터,37.5465223,127.1202657,서울특별시 강동구 천호동 483-8,0
33,아라서해갑문 인증센터,37.55712258,126.6036738,인천광역시 서구 오류동 1579-8,0
34,아라한강갑문 인증센터,37.5987932,126.8003758,서울특별시 강서구 가화동 31-2,0
35,통일전망대(민통선내),38.5148799,128.4180703,강원도 고성군 현내면 마차진리 190-1,0
36,북천철교,38.4013521,128.4742228,강원도 고성군 거진읍 송죽리 96-35,0
37,봉포해변 인증센터,38.2405721,128.5750642,강원도 고성군 토성면 용촌리 84-8,0
38,영금정 인증센터,38.2135984,128.6010058,강원도 속초시 동명동 1-234,0
39,동호해변,38.0619767,128.6795389,강원도 양양군 Sonyang면 동호리 198-1,0
40,지경공원,37.9183524,128.8081075,강원도 양양군 현남면 지경리 1-24,0
41,경포해변,37.8052348,128.9074109,강원도 강릉시 안현동 산1-10,0
42,정동진,37.6875986,129.0380108,강원도 강릉시 강동면 정동진리 5,0
43,망상해변,37.5899931,129.0940242,강원도 동해시 망상동 393-20,0
44,추암촛대바위,37.4762048,129.1600637,강원도 동해시 추암동 10-1,0
45,한재공원,37.4187068,129.1961864,강원도 삼척시 오분동 산31-7,0
46,임원,37.2224473,129.3390237,강원도 삼척시 원덕읍 임원리 산399-22,0
47,백제보 인증센터,36.3173598,126.9421057,충청남도 부여군 부여읍 자왕리 531-15,0
48,낙단보 인증센터,36.35898087,128.3065762,경상북도 의성군 단밀면 생송리 1450-10,0
49,상주보 인증센터,36.4310878,128.2502622,경상북도 상주시 중동면 오상리 776-5,0
50,공주보 인증센터,36.4604396,127.1003556,충청남도 공주시 웅진동 726,0
51,대청댐 인증센터,36.4743682,127.4821239,대전광역시 대덕구 미호동 1-5,0
52,비내섬 인증센터,37.1103569,127.8094644,충청북도 청주시 앙성면 남한강변길,0
53,밝은광장,37.5532934,127.3127745,경기도 남양주시 조안면 진중리 303-9,0
54,샛터삼거리,37.6623699,127.3704546,경기도 남양주시 화도읍 Guam리 69-1,0
55,경강교,37.8208531,127.5194727,경기도 가평군 가평읍 대곡리 31-2,0
56,신매대교,37.9204597,127.7130532,강원도 춘천시 신매리 41-1,0
57,섬진강댐 인증센터,35.5207365,127.1495502,전라북도 임실군 덕치면 호문리 443-1,0
58,장군목 인증센터,35.4605009,127.2014591,전라북도 순창군 동계면 장군목길,0
59,향가유원지 인증센터,35.3385623,127.1885158,전라북도 순창군 풍산면 대가리 산92-11,0
60,횡탄정 인증센터,35.3037168,127.3280266,전라남도 고성군 고달면 노엽리 905-28,0
61,사성암 인증센터,35.1823053,127.4696123,전라남도 구례군 문척면 중마리 715,0
62,남도대교 인증센터,35.1855275,127.6211126,전라남도 구례군 간전면 운천리 693-5,0
63,배알도수변공원 인증센터,34.959737,127.7616758,전라남도 광양시 태인동 1631-2,0
64,매화마을 인증센터,35.0799344,127.717136,전라남도 광양시 다압면 도사리 496-3,0
65,합강공원 인증센터,36.5174854,127.3211249,세종특별자치시 연기면 세종리 644-2,0
66,세종보 인증센터,36.4767907,127.2600025,세종특별자치시 한솔동 1250,0
67,용두암,33.5152202,126.5111212,제주특별자치도 제주시 용담2동 493-6,0
68,다락쉼터,33.4694715,126.3401181,제주특별자치도 제주시 애월읍 고내리 471-3,0
69,해거름 마을공원,33.369871,126.206496,제주특별자치도 제주시 한경면 판포리 1610,0
70,송악산,33.2066978,126.2894245,제주특별자치도 서귀포시 대정읍 상모리 157-2,0
71,법환바당,33.235906,126.5151134,제주특별자치도 서귀포시 대륜동 163-17,0
72,쇠소깍,33.2523011,126.6232807,제주특별자치도 서귀포시 하효동 995-4,0
73,표선해변,33.325435,126.8407713,제주특별자치도 서귀포시 표선면 표선리 44-1,0
74,성산일출봉,33.4686728,126.9243719,제주특별자치도 서귀포시 성산읍 오조리 2-3,0
75,김녕성세기 해변,33.5568554,126.7598338,제주특별자치도 제주시 구좌읍 해맞이해안로 9,0
76,함덕 서우봉 해변,33.544168,126.6726071,제주특별자치도 제주시 조천읍 함덕리 220-2,0
77,울진은어다리 인증센터,36.9768213,129.4071152,경상북도 울진군 근남면 수산리 178-8,0
78,망양휴계소 인증센터,36.8722499,129.420715,경상북도 울진군 매화면 덕신리 119-8,0
79,월송정 인증센터,36.7440846,129.4621491,경상북도 울진군 평해읍 월송리 423-21,0
80,고래불해변 인증센터,36.6005076,129.4120601,경상북도 영덕군 영덕읍 병곡리 195-13,0
81,해맞이공원 인증센터,36.4284801,129.434642,경상북도 영덕군 영덕읍 영덕해맞이공원 968,0
82,행촌교차로 인증센터,36.7659726,128.0005855,충청북도 괴산군 연풍면 행촌리 545-1,0
83,백로공원 인증센터,36.7874402,127.5830108,충청북도 증평군 증평읍 장동리 897,0
84,괴강교 인증센터,36.803981,127.8226823,충청북도 괴산군 괴산읍 검승리 737-2,0
85,무심천교 인증센터,36.6787306,127.44859,충청북도 청원구 정산동 323-4,0
86,팔당대교,37.545692,127.237083,경기도 하남시 창우동 516-3,0
87,목행교,37.020554,127.9033871,충청북도 청주시 금가면 문산리 396-2,0