road_idx,road_name,road_like
1,아라 자전거길,0
2,한강종주 자전거길,0
3,남한강 자전거길,0
4,새재 자전거길,0
5,낙동강 자전거길,0
6,금강 자전거길,0
7,영산강 자전거길,0
8,북한강 자전거길,0
9,섬진강 자전거길,0
10,오천 자전거길,0
11,동해안(강원) 자전거길,0
12,동해안(경북) 자전거길,0
13,제주 환상자전거길,0
14,강릉 경포호 산소길,0
15,화천 파로호 100리 산소길,0
16,옹진 덕적도 자전거길,0
17,파주 DMZ 자전거길,0
18,옥천 향수 100리길,0
19,정읍 정읍천 자전거길,0
20,신안 증도 자전거섬,0
21,경주 역사탐방 자전거길,0
22,제주 해맞이 해안로,0
23,강화군(지붕없는 박물관) 자전거길,0
24,옹진의 아름다운 시시모도 자전거 여행,0
25,군산 고군산도 자전거길,0
26,여수 금오도 해안도로 자전거길,0
27,고흥군(거금도~소록도) 자전거길,0
28,완도 수목원 자전거길,0
29,느림의 미학 완도군 청산도 자전거길,0
30,항상 새로운 섬 완도군 생일도 자전거길,0
31,쉬미향~청용삼거리 자전거길(진도군),0
32,신안군(입해도) 자전거길,0
33,신안군(증도) 자전거길,0
34,신안군(임자도) 자전거길,0
35,"신안군(자은, 임태도) 자전거길",0
36,신안군(흑산도) 자전거길,0
37,울릉도 꿈이 있는 자전거길,0
38,환상의 사천시 신수도 바다 자전거길,0
39,경남 남해(남해대교~남해읍 선소) 자전거길,0
40,제주도(구좌읍 해맞이 해안로) 자전거길,0
41,제주 환상 자전거길(오조리~성산리),0
42,제주도(상모리~사계리) 자전거길,0